id;item_number;bom_operation_number;bom_sequence_number;component_number;quantity;bom_yield;eff_date;dis_date
1;magnetic invoice;82486;14071;extend Squares;43079;50659;2020-04-25;2020-04-25
2;ADP ROI calculate;19302;68465;Money Market Accou;98284;69105;2020-04-24;2020-04-24
3;navigating synthes;58164;61565;Money Market Accou;62508;44366;2020-04-25;2020-04-24
4;Corners;73167;87564;synergies;93647;39505;2020-04-24;2020-04-25
5;South Carolina Fun;70129;11501;Kuwaiti Dinar;85324;33057;2020-04-25;2020-04-24
6;Metrics Gourde US ;76974;41215;application Canada;85338;14873;2020-04-24;2020-04-24
7;Profound Streamlin;10943;69870;Accounts;51362;11140;2020-04-25;2020-04-25
8;one-to-one hacking;57009;42924;auxiliary enable C;26441;79201;2020-04-25;2020-04-24
9;Dynamic Synchronis;23970;56893;Cambridgeshire har;37021;35391;2020-04-25;2020-04-24
10;Human;89971;51400;Soft focus group T;8964;62587;2020-04-25;2020-04-25
