id;file_name;file_size;parsed_date
1;primary Sierra Leone Practical Granite Keyboard;78367;2020-04-25
2;user-centric;66025;2020-04-25
3;conglomeration clear-thinking Rhode Island;64836;2020-04-25
4;methodologies Berkshire Strategist;70331;2020-04-25
5;mobile;3600;2020-04-24
6;Chicken Checking Account Virginia;20586;2020-04-25
7;XSS;79732;2020-04-25
8;Automotive Jamaican Dollar Russian Ruble;97731;2020-04-25
9;Incredible Concrete Chicken;50781;2020-04-25
10;transmit Australian Dollar Team-oriented;38562;2020-04-24
