id;item_number;magasin;emplacement;qte_stk
1;bandwidth invoice;Regional;Montenegro Cambridge;20856
2;generate hack Cred;Fresh Specialist;turquoise Bedfordshi;13110
3;Human integrated;synthesize connect M;infomediaries;65500
4;Utah distributed;plug-and-play Berksh;payment withdrawal P;66097
5;Tools;Buckinghamshire;compressing;94387
6;Licensed Fresh Piz;generating;backing up;29419
7;invoice cutting-ed;Mongolia Architect;Buckinghamshire Elec;86272
8;Human Baby;Implementation model;Sharable synthesize;39870
9;Refined Metal Chee;1080p Division Re-en;auxiliary Upgradable;94138
10;teal;Fresh;navigating metrics R;53614
